,F,I,tfidf,H,H-tilde,H-tilde_std,N
A1BG,8.810208917685457e-07,0.08340909090905324,5.571486067070787,5.3685225277282065,5.45193161863726,0.019057058738969495,44
A1CF,3.8424524802359986e-05,0.32135836134500195,2.461418409491634,10.307840173880914,10.629198535225916,0.016142534270090738,1919
A2M,9.430928182340569e-06,1.015327553225303,5.946046375681462,7.792081042145442,8.807408595370745,0.017441062854347548,471
A4GALT,1.2294246080588342e-05,0.5346863142734986,4.093446392633903,8.63322448314412,9.167910797417619,0.01781424093927882,614
AAAS,3.2217332155808866e-05,0.3098222866182674,2.5836415033997513,10.105620546030057,10.415442832648324,0.01614548709959666,1609
AACS,3.6282042179195564e-05,0.2650013463579146,2.3843184338529935,10.295413875495408,10.560415221853322,0.015862722220747933,1812
AACSP1,4.0046404171297534e-08,6.661338147750939e-16,8.362759138109174,1.0,1.0000000000000007,0.0,2
AADAC,2.9293944651304146e-05,2.10476933422186,10.02427517409236,8.194604886943093,10.299374221164953,0.016186253788150657,1463
AADACL2,6.00696062569463e-08,-0.0006666666666681476,7.957294030001009,1.584962500721156,1.584295834054488,0.021071307506904148,3
AADACP1,7.608816792546532e-07,0.7185531609690834,8.473721987100392,4.523986065961298,5.242539226930381,0.018073870056073527,38
AADAT,3.2437587378751e-06,0.16069366003059304,4.480317990246544,7.154664817699439,7.315358477730032,0.017277033623611965,162
AAED1,2.4608515363262335e-05,0.10428240296454128,2.423080320463146,9.97661032118324,10.080892724147782,0.016472691922679607,1229
AAGAB,3.177682170992459e-05,0.11357965403510839,2.228106160361565,10.286143657295481,10.39972331133059,0.015624939824986174,1587
AAK1,5.486357371467762e-05,0.12945739001265721,1.8317874606166933,10.905491121269133,11.03494851128179,0.015182508764567094,2740
AAMDC,1.7159884187400992e-05,0.13981630271246992,2.7885879922899566,9.475254107019218,9.615070409731688,0.016182122617619227,857
AAMP,6.833918871831924e-05,0.10039654649741259,1.6269091879380124,11.169595326391342,11.269991872888754,0.014669143178689897,3413
AANAT,2.0023202085648767e-08,0.0,9.055906318669118,0.0,0.0,0.0,1
AAR2,2.1825290273357155e-05,0.15040954570257625,2.6027813854287967,9.776072270559887,9.926481816262463,0.01604871392808938,1090
AARD,1.0612297105393845e-06,0.10501886792453963,5.452516312035431,5.614712907393387,5.719731775317927,0.017453023975236286,53
AARS,0.00010277909630563512,0.1854576458890218,1.4879492864304824,11.47796094882998,11.663418594719001,0.013034088154021815,5133
AARS2,3.3238515462176954e-06,0.02228844999969226,4.066292945990729,7.3268466602625875,7.34913511026228,0.01730145818768896,166
AARSD1,2.0824130169074717e-06,0.023254713701873264,4.517814554510041,6.661978179679553,6.685232893381427,0.016654458863569508,104
AASDH,1.1253039572134607e-05,0.26511553697319634,3.432111468986101,8.783829234029366,9.048944771002562,0.01703188488367614,562
AASDHPPT,2.382761048192203e-05,0.20210047528505548,2.6212651742025663,9.837024303593259,10.039124778878314,0.017266568692089066,1190
AASS,2.2425986335926617e-06,0.14335005368283937,4.80749379620604,6.646640636343318,6.7899906900261575,0.017989186470589603,112
AATF,4.689433928458941e-05,0.211048617391981,2.116049955581399,10.648734252398139,10.85978286979012,0.015457339893989045,2342
AATK,1.3335452589042078e-05,0.3295973187717838,3.488214881518836,8.9479619818874,9.277559300659183,0.016705881351226495,666
ABAT,2.224577751715578e-05,0.3654295375622709,3.0665643113096857,9.58599603250228,9.95142557006455,0.01634299924134582,1111
ABCA1,1.1253039572134607e-05,0.4834643885884269,4.060954033524239,8.565161780244805,9.048626168833232,0.01669735966009235,562
ABCA10,1.9422506023079305e-06,0.08822134716482655,4.780537184099431,6.4968200586819735,6.5850414058468,0.017876541553723205,97
ABCA11P,1.0211833063680871e-06,0.18759304142144106,5.795445891982201,5.476346910598946,5.663939952020387,0.018006493830855067,51
